stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station,geometry
PM-L5-V2,,Plaza de Maipú Dirección Plaza de Maipú,-33.509923333399,-70.7568933332511,,,0.0,PM,POINT (-70.7568933332511 -33.509923333399)
PU-L5-V1,,Pudahuel Dirección Vicente Valdés,-33.4447000001698,-70.7409764996301,,,0.0,PU,POINT (-70.7409764996301 -33.4447000001698)
PU-L5-V2,,Pudahuel Dirección Plaza de Maipú,-33.4447000001698,-70.7409764996301,,,0.0,PU,POINT (-70.7409764996301 -33.4447000001698)
QN-L5-V1,,Quinta Normal Dirección Vicente Valdés,-33.4403945000005,-70.6804460000066,,,0.0,QN,POINT (-70.6804460000066 -33.4403945000005)
QN-L5-V2,,Quinta Normal Dirección Plaza de Maipú,-33.4403945000005,-70.6804460000066,,,0.0,QN,POINT (-70.6804460000066 -33.4403945000005)
RA-L5-V1,,Rodrigo de Araya Dirección Vicente Valdés,-33.478073,-70.622192,,,0.0,RA,POINT (-70.622192 -33.478073)
RA-L5-V2,,Rodrigo de Araya Dirección Plaza de Maipú,-33.478073,-70.622192,,,0.0,RA,POINT (-70.622192 -33.478073)
PQU-L3-V1,,Plaza Quilicura Dirección Fernando Castillo Velasco,-33.3656937072977,-70.7293896612974,,,0.0,PQU,POINT (-70.7293896612974 -33.3656937072977)
PQU-L3-V2,,Plaza Quilicura Dirección Plaza Quilicura,-33.3656937072977,-70.7293896612974,,,0.0,PQU,POINT (-70.7293896612974 -33.3656937072977)
SJ-L5-V1,,San Joaquín Dirección Vicente Valdés,-33.4988330001422,-70.6157615001038,,,0.0,SJ,POINT (-70.6157615001038 -33.4988330001422)
SJ-L5-V2,,San Joaquín Dirección Plaza de Maipú,-33.4988330001422,-70.6157615001038,,,0.0,SJ,POINT (-70.6157615001038 -33.4988330001422)
OB-L2-V1,,Observatorio Dirección Hospital El Pino,-33.56039,-70.6703,,,0.0,OB,POINT (-70.6703 -33.56039)
OB-L2-V2,,Observatorio Dirección Vespucio Norte,-33.56039,-70.6703,,,0.0,OB,POINT (-70.6703 -33.56039)
PQ-L2-V1,,Parque O'Higgins Dirección Hospital El Pino,-33.460700500022,-70.6568764999963,,,0.0,PQ,POINT (-70.6568764999963 -33.460700500022)
PQ-L2-V2,,Parque O'Higgins Dirección Vespucio Norte,-33.460700500022,-70.6568764999963,,,0.0,PQ,POINT (-70.6568764999963 -33.460700500022)
LD-L1-V1,,Los Dominicos Dirección Los Domínicos,-33.4079660003098,-70.5451156663444,,,0.0,LD,POINT (-70.5451156663444 -33.4079660003098)
LD-L1-V2,,Los Dominicos Dirección San Pablo,-33.4079660003098,-70.5451156663444,,,0.0,LD,POINT (-70.5451156663444 -33.4079660003098)
PT-L2-V1,,Patronato Dirección Hospital El Pino,-33.4294940004763,-70.6471859996248,,,0.0,PT,POINT (-70.6471859996248 -33.4294940004763)
PT-L2-V2,,Patronato Dirección Vespucio Norte,-33.4294940004763,-70.6471859996248,,,0.0,PT,POINT (-70.6471859996248 -33.4294940004763)
RO-L2-V1,,Rondizzoni Dirección Hospital El Pino,-33.470183,-70.656325,,,0.0,RO,POINT (-70.656325 -33.470183)
RO-L2-V2,,Rondizzoni Dirección Vespucio Norte,-33.470183,-70.656325,,,0.0,RO,POINT (-70.656325 -33.470183)
SM-L2-V1,,San Miguel Dirección Hospital El Pino,-33.4887287505838,-70.6511055003364,,,0.0,SM,POINT (-70.6511055003364 -33.4887287505838)
SM-L2-V2,,San Miguel Dirección Vespucio Norte,-33.4887287505838,-70.6511055003364,,,0.0,SM,POINT (-70.6511055003364 -33.4887287505838)
TO-L2-V1,,Toesca Dirección Hospital El Pino,-33.4529735000973,-70.6585815009479,,,0.0,TO,POINT (-70.6585815009479 -33.4529735000973)
TO-L2-V2,,Toesca Dirección Vespucio Norte,-33.4529735000973,-70.6585815009479,,,0.0,TO,POINT (-70.6585815009479 -33.4529735000973)
AV-L2-V1,,Vespucio Norte Dirección Hospital El Pino,-33.380832501078,-70.6466290008906,,,0.0,AV,POINT (-70.6466290008906 -33.380832501078)
AV-L2-V2,,Vespucio Norte Dirección Vespucio Norte,-33.380832501078,-70.6466290008906,,,0.0,AV,POINT (-70.6466290008906 -33.380832501078)
MQ-L1-V1,,Manquehue Dirección Los Domínicos,-33.4092271697542,-70.5689079980065,,,0.0,MQ,POINT (-70.5689079980065 -33.4092271697542)
MQ-L1-V2,,Manquehue Dirección San Pablo,-33.4092271697542,-70.5689079980065,,,0.0,MQ,POINT (-70.5689079980065 -33.4092271697542)
ZA-L2-V1,,Zapadores Dirección Hospital El Pino,-33.391309000003,-70.6425814999764,,,0.0,ZA,POINT (-70.6425814999764 -33.391309000003)
ZA-L2-V2,,Zapadores Dirección Vespucio Norte,-33.391309000003,-70.6425814999764,,,0.0,ZA,POINT (-70.6425814999764 -33.391309000003)
SI-L5-V1,,Santa Isabel Dirección Vicente Valdés,-33.4469665003525,-70.6305194997132,,,0.0,SI,POINT (-70.6305194997132 -33.4469665003525)
SI-L5-V2,,Santa Isabel Dirección Plaza de Maipú,-33.4469665003525,-70.6305194997132,,,0.0,SI,POINT (-70.6305194997132 -33.4469665003525)
MM-L1-V1,,Manuel Montt Dirección Los Domínicos,-33.4286535001209,-70.6196305002969,,,0.0,MM,POINT (-70.6196305002969 -33.4286535001209)
MM-L1-V2,,Manuel Montt Dirección San Pablo,-33.4286535001209,-70.6196305002969,,,0.0,MM,POINT (-70.6196305002969 -33.4286535001209)
NP-L1-V1,,Neptuno Dirección Los Domínicos,-33.4514660000993,-70.7226654999901,,,0.0,NP,POINT (-70.7226654999901 -33.4514660000993)
NP-L1-V2,,Neptuno Dirección San Pablo,-33.4514660000993,-70.7226654999901,,,0.0,NP,POINT (-70.7226654999901 -33.4514660000993)
PJ-L1-V1,,Pajaritos Dirección Los Domínicos,-33.4573606674556,-70.7156393335818,,,0.0,PJ,POINT (-70.7156393335818 -33.4573606674556)
PJ-L1-V2,,Pajaritos Dirección San Pablo,-33.4573606674556,-70.7156393335818,,,0.0,PJ,POINT (-70.7156393335818 -33.4573606674556)
PV-L1-V1,,Pedro de Valdivia Dirección Los Domínicos,-33.4252307504914,-70.613821000677,,,0.0,PV,POINT (-70.613821000677 -33.4252307504914)
PV-L1-V2,,Pedro de Valdivia Dirección San Pablo,-33.4252307504914,-70.613821000677,,,0.0,PV,POINT (-70.613821000677 -33.4252307504914)
RP-L1-V1,,República Dirección Los Domínicos,-33.4477040003231,-70.6667376670974,,,0.0,RP,POINT (-70.6667376670974 -33.4477040003231)
RP-L1-V2,,República Dirección San Pablo,-33.4477040003231,-70.6667376670974,,,0.0,RP,POINT (-70.6667376670974 -33.4477040003231)
SA-L1-V1,,Salvador Dirección Los Domínicos,-33.4328226000889,-70.6259352003323,,,0.0,SA,POINT (-70.6259352003323 -33.4328226000889)
SA-L1-V2,,Salvador Dirección San Pablo,-33.4328226000889,-70.6259352003323,,,0.0,SA,POINT (-70.6259352003323 -33.4328226000889)
AH-L1-V1,,San Alberto Hurtado Dirección Los Domínicos,-33.4542110000313,-70.6922765002798,,,0.0,AH,POINT (-70.6922765002798 -33.4542110000313)
AH-L1-V2,,San Alberto Hurtado Dirección San Pablo,-33.4542110000313,-70.6922765002798,,,0.0,AH,POINT (-70.6922765002798 -33.4542110000313)
SL-L1-V1,,Santa Lucía Dirección Los Domínicos,-33.4426015001015,-70.6450135004098,,,0.0,SL,POINT (-70.6450135004098 -33.4426015001015)
SL-L1-V2,,Santa Lucía Dirección San Pablo,-33.4426015001015,-70.6450135004098,,,0.0,SL,POINT (-70.6450135004098 -33.4426015001015)
LA-L1-V1,,Unión Latinoamericana Dirección Los Domínicos,-33.4493046667187,-70.6733970000011,,,0.0,LA,POINT (-70.6733970000011 -33.4493046667187)
LA-L1-V2,,Unión Latinoamericana Dirección San Pablo,-33.4493046667187,-70.6733970000011,,,0.0,LA,POINT (-70.6733970000011 -33.4493046667187)
UC-L1-V1,,Universidad Católica Dirección Los Domínicos,-33.4398775005508,-70.6399685003287,,,0.0,UC,POINT (-70.6399685003287 -33.4398775005508)
UC-L1-V2,,Universidad Católica Dirección San Pablo,-33.4398775005508,-70.6399685003287,,,0.0,UC,POINT (-70.6399685003287 -33.4398775005508)
VFR-L3-V1,,Villa Frei Dirección Fernando Castillo Velasco,-33.454816,-70.580146,,,0.0,VFR,POINT (-70.580146 -33.454816)
VFR-L3-V2,,Villa Frei Dirección Plaza Quilicura,-33.454816,-70.580146,,,0.0,VFR,POINT (-70.580146 -33.454816)
VIV-L3-V1,,Vivaceta Dirección Fernando Castillo Velasco,-33.385377,-70.679303,,,0.0,VIV,POINT (-70.679303 -33.385377)
VIV-L3-V2,,Vivaceta Dirección Plaza Quilicura,-33.385377,-70.679303,,,0.0,VIV,POINT (-70.679303 -33.385377)
SB-L5-V1,,Santiago Bueras Dirección Vicente Valdés,-33.496779,-70.757302,,,0.0,SB,POINT (-70.757302 -33.496779)
SB-L5-V2,,Santiago Bueras Dirección Plaza de Maipú,-33.496779,-70.757302,,,0.0,SB,POINT (-70.757302 -33.496779)
US-L1-V1,,Universidad de Santiago Dirección Los Domínicos,-33.4527110000353,-70.6861880000361,,,0.0,US,POINT (-70.6861880000361 -33.4527110000353)
US-L1-V2,,Universidad de Santiago Dirección San Pablo,-33.4527110000353,-70.6861880000361,,,0.0,US,POINT (-70.6861880000361 -33.4527110000353)
